title,brand,price,list_price,image,sku
"Skechers Men's Relaxed Fit: Braver - Rayland, Black",Visit the Skechers Store,$43.68,,https://m.media-amazon.com/images/I/41JcChMUkzL._AC_US40_.jpg,B0755ZRV82
Columbia Men's Newton Ridge Plus Wp Hiking Shoe,Visit the Columbia Store,$61.22,,https://m.media-amazon.com/images/I/41e9WS5ir8L._AC_US40_.jpg,B00KWK83PC
Kapsen Mens Walking Shoes Lightweight Breathe Mesh Running Shoes Slip On Fashion Tennis Sneakers Workout Calzado para Hombre,Visit the Kapsen Store,$19.99,,https://m.media-amazon.com/images/I/419CBADx6KL._AC_US40_.jpg,B0CP269DYP
Crocs Unisex-Adult Classic Clogs,Visit the Crocs Store,$49.95,,https://m.media-amazon.com/images/I/31qs60TjllL._AC_US40_.jpg,B0BF8G938G
Amazon Essentials Men's Service Shoe,Visit the Amazon Essentials Store,$13.70,,https://m.media-amazon.com/images/I/31PWbJ85XmL._AC_US40_.jpg,B09RXJ5R6N
Nike mens Revolution 6 Road Running,Brand: Nike,$54.92,,https://m.media-amazon.com/images/I/31AqM4V1NLL._AC_US40_.jpg,B098PBC26X
Nike Men's Court Vision Lo Sneaker,Brand: Nike,$65.25,,https://m.media-amazon.com/images/I/31vYgaolmUL._AC_US40_.jpg,B0983L4Y9V
Bruno Marc Men's Casual Slip-on Loafers Stretch Shoes 1.0,Visit the Bruno Marc Store,$31.48,,https://m.media-amazon.com/images/I/41AvsNaZbbL._AC_US40_.jpg,B08R87LVDH
Skechers Women's Go Walk Joy Sneaker,Visit the Skechers Store,$34.93,,https://m.media-amazon.com/images/I/31IGtYrmTPL._AC_US40_.jpg,B071WV421W
adidas Women's Vulc Raid3r Skate Shoe,Visit the adidas Store,$38.95,,https://m.media-amazon.com/images/I/21JiQjd-gIL._AC_US40_.jpg,B091JGXY5T
Lugz Men's Lear Classic Fashion Sneaker,Visit the Lugz Store,$30.62,,https://m.media-amazon.com/images/I/31mJ3xs30KL._AC_US40_.jpg,B08Z6WTNGQ
Brooks Men’s Trace 2 Neutral Running Shoe,Visit the Brooks Store,$59.00,,https://m.media-amazon.com/images/I/41GTwMB5OgL._AC_US40_.jpg,B09MGF3N2Y
adidas Men's Kaptir 3.0,Visit the adidas Store,$52.71,,https://m.media-amazon.com/images/I/31djgM+VmfL._AC_US40_.jpg,B0BG938KTS
PUMA Men's Tazon 6 Sneaker,Visit the PUMA Store,$45.40,,https://m.media-amazon.com/images/I/41AMIaG-d+L._AC_US40_.jpg,B01G3LZFRW
Bruno Marc Men's Plain Toe Oxford Shoes Business Formal Derby Dress Sneakers,Visit the Bruno Marc Store,$31.99,,https://m.media-amazon.com/images/I/41VdGeYGPxL._AC_US40_.jpg,B0B2JCDSCX
PUMA Men's Ignite Elevate Sneaker,Visit the PUMA Store,$87.35,,https://m.media-amazon.com/images/I/31XbkvtDetL._AC_US40_.jpg,B0BJH5LBX1
Feethit Mens Slip On Walking Shoes Lightweight Breathable Non Slip Running Shoes Comfortable Fashion Sneakers for Men,Visit the Feethit Store,$35.99,,https://m.media-amazon.com/images/I/41KVKlqp+7L._AC_US40_.jpg,B089CSCDTS
Amazon Essentials Women's Belice Ballet Flat,Visit the Amazon Essentials Store,$21.33,,https://m.media-amazon.com/images/I/31DKx5rMfUL._AC_US40_.jpg,B07PMT5BJF
WHITIN Men's Wide Minimalist Barefoot Sneakers | Zero Drop Sole | Optimal Relaxation,Visit the WHITIN Store,$41.99,,https://m.media-amazon.com/images/I/41o48MQbriL._AC_US40_.jpg,B09Z6GN4N4
Skechers Women's Hands Free Slip-Ins Skip Cute - B Cute Sweet Sneaker,Visit the Skechers Store,$54.95,,https://m.media-amazon.com/images/I/21T3pe+9jFL._AC_US40_.jpg,B0CLBNZRD7
adidas mens Run Falcon 3.0 Shoes,Visit the adidas Store,$46.80,,https://m.media-amazon.com/images/I/31dfKtd1dyL._AC_US40_.jpg,B09Y7VQ32X
Men's Tamiami PFG Boat Shoe,Visit the Columbia Store,$57.66,,https://m.media-amazon.com/images/I/31MbcJMwfBL._AC_US40_.jpg,B089FCC5KS
"DREAM PAIRS Women's Platform Espadrilles Casual Ankle Strap Wedge Sandals, Comfortable Dressy Summer Shoes",Visit the DREAM PAIRS Store,$39.99,,https://m.media-amazon.com/images/I/31975p1ft2L._AC_US40_.jpg,B0CMTHFLKH
Bruno Marc Men's Casual Dress Oxfords Shoes Business Formal Derby Sneakers,Visit the Bruno Marc Store,$39.99,,https://m.media-amazon.com/images/I/41a9qcKYVmL._AC_US40_.jpg,B0CQ6YZ2BK
WHITIN Men's Zero Drop Shoes + Wide Toe Box with Contrasting Colors Design,Visit the WHITIN Store,$39.59,,https://m.media-amazon.com/images/I/41h0w5M2tUL._AC_US40_.jpg,B0CSSK8RSP
Hey Dude Women's Wendy Chambray | Women's Shoes | Women's Lace Up Loafers | Comfortable & Light-Weight,Visit the Hey Dude Store,$42.47,,https://m.media-amazon.com/images/I/41yPbhVm11L._AC_US40_.jpg,B0B9YSW8G7
Ryka Women's Devotion Plus 3 Walking Shoe,Visit the Ryka Store,$69.95,,https://m.media-amazon.com/images/I/41kjzLJfj0L._AC_US40_.jpg,B07ZH13VD7
Anne Klein Women's Tara Wedge Pump,Visit the Anne Klein Store,$40.66,,https://m.media-amazon.com/images/I/31DrnuMvU2L._AC_US40_.jpg,B07BRX97HZ
"Avia Anchor SR Mesh Slip On Black Non Slip Shoes for Men, Water Resistant Mens Work Shoes & Restaurant or Food Service Sneakers - Med or Wide Comfortable Slip Resistant Work Shoes Men, Safety Footwear",Visit the Avia Store,$49.98,,https://m.media-amazon.com/images/I/41c83dqrTwL._AC_US40_.jpg,B0CRFZXQ82
Bruno Marc Men's Dress Shoes Formal Classic Lace-up Oxfords,Visit the Bruno Marc Store,$31.99,,https://m.media-amazon.com/images/I/31vxiRCvFUL._AC_US40_.jpg,B0CQ71LQ8N
Bruno Marc Men's Slip on Dress Loafers Formal Shoes,Visit the Bruno Marc Store,$36.99,,https://m.media-amazon.com/images/I/31HOlByLvlL._AC_US40_.jpg,B01FYD256E
DC Men's Court Graffik Casual Low Top Skate Shoe Sneaker,Visit the DC Store,$55.55,,https://m.media-amazon.com/images/I/31aFVV83MtL._AC_US40_.jpg,B006IYTG0M
Brooks Men’s Adrenaline GTS 23 Supportive Running Shoe,Visit the Brooks Store,$124.00,,https://m.media-amazon.com/images/I/41YeMrJrzIL._AC_US40_.jpg,B0BJ7TLWSB
Bruno Marc Men's Dress Oxfords,Visit the Bruno Marc Store,$34.99,,https://m.media-amazon.com/images/I/31noWRl+43L._AC_US40_.jpg,B09M8J58F1
adidas Men's Lite Racer Adapt 4.0,Visit the adidas Store,$36.97,,https://m.media-amazon.com/images/I/41-cwY9vmPS._AC_US40_.jpg,B08N67DGDV
Skechers Men's Expected Avillo Relaxed-Fit Slip-On Loafer,Visit the Skechers Store,$27.99,,https://m.media-amazon.com/images/I/41ixA+BCpTL._AC_US40_.jpg,B00P6LHNAS
Dr. Scholl's Shoes Men's Sync Oxford,Visit the Dr. Scholl's Shoes Store,$44.99,,https://m.media-amazon.com/images/I/31QagxjIuAL._AC_US40_.jpg,B07TWCK8W3
WHITIN Men's Wide Canvas Barefoot & Minimalist Shoes | Zero Drop Sole,Visit the WHITIN Store,$19.99,,https://m.media-amazon.com/images/I/518ZckueJqL._AC_US40_.jpg,B0C84T9K2S
