title,price,list_price,url
"Skechers Men's Relaxed Fit: Braver - Rayland, Black ",$54.99,$70.00,https://www.amazon.com/Skechers-Classic-Fit-Delson-Camden-Sneaker-Black/dp/B0755ZRV82/ref=sr_1_1?dib=eyJ2IjoiMSJ9.MCtH4u_bh3WX06_HpAvAlVFmyn_eh8bW0JLU3U7dick7ch7YDuBoW3KEaBwfnGTDxLwQHnp1RS7fOHtGqAzjwQ0cHF7QPuaT8EsXQ-u1UCwTzvJRnRUnKyRkGhUeM94_NR3A_Mqgwg_pj6WXt99dUk4bWILrTPtZPqlTHbRlWunzc_XtIxM-6K5Iho-olL9fK4J4jB54sSt8iIpEIWIgVbCp8RL1DJegU3Q98x3no5xyOenzYBw3KqShU2WxTSlrRfmXNQ9nHhvqJj1v_FO5zHU1iYEXu_2SLiVAd49aB8w.irbnkyPht8SplfHmzh253K8JOqTaVzDF4TCUz60GVPQ&dib_tag=se&keywords=shoes&qid=1713679646&sprefix=shoes%2Caps%2C399&sr=8-1
Columbia Men's Newton Ridge Plus Wp Hiking Shoe ,$75.00,$100.00,https://www.amazon.com/Columbia-Newton-Waterproof-Hiking-Cordovan/dp/B00KWK83PC/ref=sr_1_2?dib=eyJ2IjoiMSJ9.MCtH4u_bh3WX06_HpAvAlVFmyn_eh8bW0JLU3U7dick7ch7YDuBoW3KEaBwfnGTDxLwQHnp1RS7fOHtGqAzjwQ0cHF7QPuaT8EsXQ-u1UCwTzvJRnRUnKyRkGhUeM94_NR3A_Mqgwg_pj6WXt99dUk4bWILrTPtZPqlTHbRlWunzc_XtIxM-6K5Iho-olL9fK4J4jB54sSt8iIpEIWIgVbCp8RL1DJegU3Q98x3no5xyOenzYBw3KqShU2WxTSlrRfmXNQ9nHhvqJj1v_FO5zHU1iYEXu_2SLiVAd49aB8w.irbnkyPht8SplfHmzh253K8JOqTaVzDF4TCUz60GVPQ&dib_tag=se&keywords=shoes&qid=1713679646&sprefix=shoes%2Caps%2C399&sr=8-2
Kapsen Mens Walking Shoes Lightweight Breathe Mesh Running Shoes Slip On Fashion Tennis Sneakers Workout Calzado para Hombre ,$19.99,,https://www.amazon.com/Kapsen-Comfortable-Sneakers-Lightweight-Breathable/dp/B0CP269DYP/ref=sr_1_3?dib=eyJ2IjoiMSJ9.MCtH4u_bh3WX06_HpAvAlVFmyn_eh8bW0JLU3U7dick7ch7YDuBoW3KEaBwfnGTDxLwQHnp1RS7fOHtGqAzjwQ0cHF7QPuaT8EsXQ-u1UCwTzvJRnRUnKyRkGhUeM94_NR3A_Mqgwg_pj6WXt99dUk4bWILrTPtZPqlTHbRlWunzc_XtIxM-6K5Iho-olL9fK4J4jB54sSt8iIpEIWIgVbCp8RL1DJegU3Q98x3no5xyOenzYBw3KqShU2WxTSlrRfmXNQ9nHhvqJj1v_FO5zHU1iYEXu_2SLiVAd49aB8w.irbnkyPht8SplfHmzh253K8JOqTaVzDF4TCUz60GVPQ&dib_tag=se&keywords=shoes&qid=1713679646&sprefix=shoes%2Caps%2C399&sr=8-3
Crocs Unisex-Adult Classic Clogs ,$49.95,,https://www.amazon.com/Crocs-Unisex-Classic-Clogs-Juice/dp/B0BF8G938G/ref=sr_1_4?dib=eyJ2IjoiMSJ9.MCtH4u_bh3WX06_HpAvAlVFmyn_eh8bW0JLU3U7dick7ch7YDuBoW3KEaBwfnGTDxLwQHnp1RS7fOHtGqAzjwQ0cHF7QPuaT8EsXQ-u1UCwTzvJRnRUnKyRkGhUeM94_NR3A_Mqgwg_pj6WXt99dUk4bWILrTPtZPqlTHbRlWunzc_XtIxM-6K5Iho-olL9fK4J4jB54sSt8iIpEIWIgVbCp8RL1DJegU3Q98x3no5xyOenzYBw3KqShU2WxTSlrRfmXNQ9nHhvqJj1v_FO5zHU1iYEXu_2SLiVAd49aB8w.irbnkyPht8SplfHmzh253K8JOqTaVzDF4TCUz60GVPQ&dib_tag=se&keywords=shoes&qid=1713679646&sprefix=shoes%2Caps%2C399&sr=8-4
Amazon Essentials Men's Service Shoe ,$13.70,$45.90,https://www.amazon.com/Amazon-Essentials-Mens-Service-Black/dp/B09RXJ5R6N/ref=sr_1_5?dib=eyJ2IjoiMSJ9.MCtH4u_bh3WX06_HpAvAlVFmyn_eh8bW0JLU3U7dick7ch7YDuBoW3KEaBwfnGTDxLwQHnp1RS7fOHtGqAzjwQ0cHF7QPuaT8EsXQ-u1UCwTzvJRnRUnKyRkGhUeM94_NR3A_Mqgwg_pj6WXt99dUk4bWILrTPtZPqlTHbRlWunzc_XtIxM-6K5Iho-olL9fK4J4jB54sSt8iIpEIWIgVbCp8RL1DJegU3Q98x3no5xyOenzYBw3KqShU2WxTSlrRfmXNQ9nHhvqJj1v_FO5zHU1iYEXu_2SLiVAd49aB8w.irbnkyPht8SplfHmzh253K8JOqTaVzDF4TCUz60GVPQ&dib_tag=se&keywords=shoes&qid=1713679646&sprefix=shoes%2Caps%2C399&sr=8-5
Nike mens Revolution 6 Road Running ,$78.36,,https://www.amazon.com/Nike-Revolution-Running-White-Smoke-Numeric_8_Point_5/dp/B098PBC26X/ref=sr_1_6?dib=eyJ2IjoiMSJ9.MCtH4u_bh3WX06_HpAvAlVFmyn_eh8bW0JLU3U7dick7ch7YDuBoW3KEaBwfnGTDxLwQHnp1RS7fOHtGqAzjwQ0cHF7QPuaT8EsXQ-u1UCwTzvJRnRUnKyRkGhUeM94_NR3A_Mqgwg_pj6WXt99dUk4bWILrTPtZPqlTHbRlWunzc_XtIxM-6K5Iho-olL9fK4J4jB54sSt8iIpEIWIgVbCp8RL1DJegU3Q98x3no5xyOenzYBw3KqShU2WxTSlrRfmXNQ9nHhvqJj1v_FO5zHU1iYEXu_2SLiVAd49aB8w.irbnkyPht8SplfHmzh253K8JOqTaVzDF4TCUz60GVPQ&dib_tag=se&keywords=shoes&qid=1713679646&sprefix=shoes%2Caps%2C399&sr=8-6
Nike Men's Court Vision Lo Sneaker ,$72.59,,https://www.amazon.com/Court-Vision-Better-Basketball-White-White/dp/B0983L4Y9V/ref=sr_1_7?dib=eyJ2IjoiMSJ9.MCtH4u_bh3WX06_HpAvAlVFmyn_eh8bW0JLU3U7dick7ch7YDuBoW3KEaBwfnGTDxLwQHnp1RS7fOHtGqAzjwQ0cHF7QPuaT8EsXQ-u1UCwTzvJRnRUnKyRkGhUeM94_NR3A_Mqgwg_pj6WXt99dUk4bWILrTPtZPqlTHbRlWunzc_XtIxM-6K5Iho-olL9fK4J4jB54sSt8iIpEIWIgVbCp8RL1DJegU3Q98x3no5xyOenzYBw3KqShU2WxTSlrRfmXNQ9nHhvqJj1v_FO5zHU1iYEXu_2SLiVAd49aB8w.irbnkyPht8SplfHmzh253K8JOqTaVzDF4TCUz60GVPQ&dib_tag=se&keywords=shoes&qid=1713679646&sprefix=shoes%2Caps%2C399&sr=8-7
Bruno Marc Men's Casual Slip-on Loafers Stretch Shoes 1.0 ,$31.48,$46.99,https://www.amazon.com/Bruno-Marc-Stretch-Lightweight-Comfortable/dp/B08R87LVDH/ref=sr_1_8?dib=eyJ2IjoiMSJ9.MCtH4u_bh3WX06_HpAvAlVFmyn_eh8bW0JLU3U7dick7ch7YDuBoW3KEaBwfnGTDxLwQHnp1RS7fOHtGqAzjwQ0cHF7QPuaT8EsXQ-u1UCwTzvJRnRUnKyRkGhUeM94_NR3A_Mqgwg_pj6WXt99dUk4bWILrTPtZPqlTHbRlWunzc_XtIxM-6K5Iho-olL9fK4J4jB54sSt8iIpEIWIgVbCp8RL1DJegU3Q98x3no5xyOenzYBw3KqShU2WxTSlrRfmXNQ9nHhvqJj1v_FO5zHU1iYEXu_2SLiVAd49aB8w.irbnkyPht8SplfHmzh253K8JOqTaVzDF4TCUz60GVPQ&dib_tag=se&keywords=shoes&qid=1713679646&sprefix=shoes%2Caps%2C399&sr=8-8
Skechers Women's Go Walk Joy Sneaker ,$50.22,$60.00,https://www.amazon.com/Skechers-Performance-Womens-Walking-White/dp/B071WV421W/ref=sr_1_9?dib=eyJ2IjoiMSJ9.MCtH4u_bh3WX06_HpAvAlVFmyn_eh8bW0JLU3U7dick7ch7YDuBoW3KEaBwfnGTDxLwQHnp1RS7fOHtGqAzjwQ0cHF7QPuaT8EsXQ-u1UCwTzvJRnRUnKyRkGhUeM94_NR3A_Mqgwg_pj6WXt99dUk4bWILrTPtZPqlTHbRlWunzc_XtIxM-6K5Iho-olL9fK4J4jB54sSt8iIpEIWIgVbCp8RL1DJegU3Q98x3no5xyOenzYBw3KqShU2WxTSlrRfmXNQ9nHhvqJj1v_FO5zHU1iYEXu_2SLiVAd49aB8w.irbnkyPht8SplfHmzh253K8JOqTaVzDF4TCUz60GVPQ&dib_tag=se&keywords=shoes&qid=1713679646&sprefix=shoes%2Caps%2C399&sr=8-9
adidas Women's Vulc Raid3r Skate Shoe ,$49.37,$60.00,https://www.amazon.com/adidas-Womens-Raid3r-Silver-Metallic/dp/B091JGXY5T/ref=sr_1_10?dib=eyJ2IjoiMSJ9.MCtH4u_bh3WX06_HpAvAlVFmyn_eh8bW0JLU3U7dick7ch7YDuBoW3KEaBwfnGTDxLwQHnp1RS7fOHtGqAzjwQ0cHF7QPuaT8EsXQ-u1UCwTzvJRnRUnKyRkGhUeM94_NR3A_Mqgwg_pj6WXt99dUk4bWILrTPtZPqlTHbRlWunzc_XtIxM-6K5Iho-olL9fK4J4jB54sSt8iIpEIWIgVbCp8RL1DJegU3Q98x3no5xyOenzYBw3KqShU2WxTSlrRfmXNQ9nHhvqJj1v_FO5zHU1iYEXu_2SLiVAd49aB8w.irbnkyPht8SplfHmzh253K8JOqTaVzDF4TCUz60GVPQ&dib_tag=se&keywords=shoes&qid=1713679646&sprefix=shoes%2Caps%2C399&sr=8-10
